Coins Repo Ticker,Base Ticker,CMC Name,Coins Repo Name,Coins Repo Fname
ACTN,ACTN,Action Coin,Action Coin,Action Coin
ACTN-BEP20,ACTN,Action Coin,Action Coin,Action Coin
ADA-BEP20,ADA,Cardano,Cardano,Cardano
ADA-BEP20,ADA,Ada,Cardano,Cardano
ARRR,ARRR,Pirate Chain,Pirate,Pirate
ARRR-BEP20,ARRR,Pirate Chain,Pirate,Pirate
ATOM-BEP20,ATOM,Cosmos,Cosmos,Cosmos
ATOM-BEP20,ATOM,ATOM (Atomicals),Cosmos,Cosmos
ATOM-PLG20,ATOM,Cosmos,Cosmos,Cosmos
ATOM-PLG20,ATOM,ATOM (Atomicals),Cosmos,Cosmos
ATOM,ATOM,Cosmos,Cosmos,Cosmos
ATOM-IBC_IRIS,ATOM,Cosmos,Cosmos IBC-IRIS,Cosmos IBC-IRIS
ATOM-IBC_IRIS,ATOM,ATOM (Atomicals),Cosmos IBC-IRIS,Cosmos IBC-IRIS
AVAX,AVAX,Avalanche,Avalanche,Avalanche
AVAX-BEP20,AVAX,Avalanche,Avalanche,Avalanche
AXE,AXE,Axe,Axe,Axe
AYA,AYA,Aryacoin,Aryacoin,Aryacoin
AYA-BEP20,AYA,Aryacoin,Aryacoin,Aryacoin
BCH,BCH,Bitcoin Cash,Bitcoin Cash,Bitcoin Cash
BCH-ERC20,BCH,Bitcoin Cash,Bitcoin Cash,Bitcoin Cash
BCH-BEP20,BCH,Bitcoin Cash,Bitcoin Cash,Bitcoin Cash
BCH-HCO20,BCH,Bitcoin Cash,Bitcoin Cash,Bitcoin Cash
BLK,BLK,BlackCoin,BlackCoin,BlackCoin
BLK-BEP20,BLK,BlackCoin,BlackCoin,BlackCoin
BLOCX,BLOCX,BLOCX.,BLOCX.,BLOCX.
BNB,BNB,BNB,Binance Coin,Binance Coin
BOLI,BOLI,Bolivarcoin,Bolivarcoin,Bolivarcoin
BSTY,BSTY,GlobalBoost,GlobalBoost-Y,GlobalBoost-Y
BTC,BTC,Bitcoin,Bitcoin,Bitcoin
BTC-segwit,BTC,Bitcoin,Bitcoin,Bitcoin
BTC-BEP20,BTC,Bitcoin,Bitcoin,Bitcoin
BTCZ,BTCZ,BitcoinZ,BitcoinZ,BitcoinZ
BTCZ-BEP20,BTCZ,BitcoinZ,BitcoinZ,BitcoinZ
BTT-BEP20,BTT,BitTorrent (New),BitTorrent (OLD),BitTorrent (OLD)
BTT-BEP20,BTT,Bitteam token,BitTorrent (OLD),BitTorrent (OLD)
BTX,BTX,BitCore,BitCore,BitCore
BTX-segwit,BTX,BitCore,BitCore,BitCore
