Coins Repo Ticker,Base Ticker,CMC Name,Coins Repo Name,Coins Repo Fname
BTT-BEP20,BTT,BitTorrent (New),BitTorrent (OLD),BitTorrent (OLD)
BTT-BEP20,BTT,Bitteam token,BitTorrent (OLD),BitTorrent (OLD)
BUSD-AVX20,BUSD,BUSD,Binance USD,Binance USD
BUSD-MVR20,BUSD,BUSD,Binance USD,Binance USD
BUSD-ERC20,BUSD,BUSD,Binance USD,Binance USD
BUSD-BEP20,BUSD,BUSD,Binance USD,Binance USD
BUSD-PLG20,BUSD,BUSD,Binance USD,Binance USD
CAKE-BEP20,CAKE,PancakeSwap,PancakeSwap,PancakeSwap
CRO-ERC20,CRO,Cronos,Crypto.com,Crypto.com
CRO-KRC20,CRO,Cronos,Crypto.com,Crypto.com
CRO-PLG20,CRO,Cronos,Crypto.com,Crypto.com
CRT-QRC20,CRT,Carrot,CRT Token,CRT Token
CRT-QRC20,CRT,Cantina Royale,CRT Token,CRT Token
EGLD-BEP20,EGLD,MultiversX,Elrond,Elrond
GALA-ERC20,GALA,Gala,Gala,Gala
GALA-BEP20,GALA,Gala,Gala,Gala
GMT-BEP20,GMT,Gomining,STEPN,STEPN
GMT-BEP20,GMT,GMT,STEPN,STEPN
GMT-PLG20,GMT,Gomining,STEPN,STEPN
GMT-PLG20,GMT,GMT,STEPN,STEPN
JST-BEP20,JST,JUST,JUST,JUST
QI-QRC20,QI,QiSwap,Qi Swap,Qi Swap
QI-QRC20,QI,BENQI,Qi Swap,Qi Swap
QI-QRC20,QI,QiDao,Qi Swap,Qi Swap
REP-ERC20,REP,Augur,Augur,Augur
SHR-ERC20,SHR,ShareToken,Share,Share
SHR-BEP20,SHR,ShareToken,Share,Share
SWAP-BEP20,SWAP,TrustSwap,SafeSwap,SafeSwap
TTT-SLP,TTT,TabTrader Token,Trinity Trust Token,Trinity Trust Token
ZINU-BEP20,ZINU,Zombie Inu(New),Zombie Inu,Zombie Inu
